IsisCube.Core.StartByte,"65537"
INSTRUMENT_SETTING_PARAMETERS.MRO-LOOKUP_CONVERSION_TABLE,"((0, 1107), (1108, 1122), (1123, 1137), (1138, 1153), (1154, 1168), (1169, 1183), (1184, 1198), (1199, 1213), (1214, 1228), (1229, 1243), (1244, 1259), (1260, 1274), (1275, 1289), (1290, 1304), (1305, 1319), (1320, 1334), (1335, 1349), (1350, 1365), (1366, 1380), (1381, 1395), (1396, 1410), (1411, 1425), (1426, 1440), (1441, 1456), (1457, 1471), (1472, 1486), (1487, 1501), (1502, 1516), (1517, 1531), (1532, 1546), (1547, 1562), (1563, 1577), (1578, 1592), (1593, 1612), (1613, 1638), (1639, 1664), (1665, 1690), (1691, 1715), (1716, 1741), (1742, 1767), (1768, 1793), (1794, 1818), (1819, 1844), (1845, 1870), (1871, 1896), (1897, 1921), (1922, 1947), (1948, 1973), (1974, 1999), (2000, 2024), (2025, 2050), (2051, 2076), (2077, 2102), (2103, 2127), (2128, 2153), (2154, 2179), (2180, 2205), (2206, 2230), (2231, 2256), (2257, 2282), (2283, 2308), (2309, 2333), (2334, 2359), (2360, 2385), (2386, 2411), (2412, 2436), (2437, 2462), (2463, 2488), (2489, 2514), (2515, 2539), (2540, 2565), (2566, 2591), (2592, 2617), (2618, 2642), (2643, 2668), (2669, 2694), (2695, 2720), (2721, 2745), (2746, 2771), (2772, 2797), (2798, 2823), (2824, 2848), (2849, 2874), (2875, 2900), (2901, 2926), (2927, 2951), (2952, 2977), (2978, 3003), (3004, 3029), (3030, 3055), (3056, 3082), (3083, 3109), (3110, 3136), (3137, 3163), (3164, 3190), (3191, 3217), (3218, 3244), (3245, 3271), (3272, 3297), (3298, 3324), (3325, 3351), (3352, 3378), (3379, 3405), (3406, 3432), (3433, 3459), (3460, 3486), (3487, 3513), (3514, 3540), (3541, 3567), (3568, 3594), (3595, 3621), (3622, 3648), (3649, 3675), (3676, 3702), (3703, 3729), (3730, 3756), (3757, 3782), (3783, 3809), (3810, 3836), (3837, 3863), (3864, 3890), (3891, 3917), (3918, 3944), (3945, 3971), (3972, 3998), (3999, 4025), (4026, 4052), (4053, 4079), (4080, 4106), (4107, 4133), (4134, 4160), (4161, 4187), (4188, 4214), (4215, 4241), (4242, 4268), (4269, 4294), (4295, 4321), (4322, 4348), (4349, 4375), (4376, 4402), (4403, 4429), (4430, 4456), (4457, 4483), (4484, 4510), (4511, 4538), (4539, 4566), (4567, 4595), (4596, 4623), (4624, 4652), (4653, 4680), (4681, 4709), (4710, 4737), (4738, 4766), (4767, 4794), (4795, 4823), (4824, 4851), (4852, 4880), (4881, 4908), (4909, 4937), (4938, 4965), (4966, 4994), (4995, 5022), (5023, 5051), (5052, 5079), (5080, 5108), (5109, 5136), (5137, 5165), (5166, 5193), (5194, 5222), (5223, 5250), (5251, 5284), (5285, 5323), (5324, 5362), (5363, 5401), (5402, 5440), (5441, 5479), (5480, 5518), (5519, 5557), (5558, 5596), (5597, 5635), (5636, 5675), (5676, 5714), (5715, 5753), (5754, 5792), (5793, 5831), (5832, 5870), (5871, 5909), (5910, 5948), (5949, 5987), (5988, 6040), (6041, 6108), (6109, 6175), (6176, 6242), (6243, 6310), (6311, 6377), (6378, 6444), (6445, 6512), (6513, 6579), (6580, 6646), (6647, 6714), (6715, 6781), (6782, 6849), (6850, 6916), (6917, 6983), (6984, 7051), (7052, 7118), (7119, 7185), (7186, 7253), (7254, 7320), (7321, 7387), (7388, 7455), (7456, 7535), (7536, 7627), (7628, 7720), (7721, 7813), (7814, 7905), (7906, 7998), (7999, 8091), (8092, 8183), (8184, 8276), (8277, 8368), (8369, 8461), (8462, 8554), (8555, 8646), (8647, 8739), (8740, 8832), (8833, 8924), (8925, 9045), (9046, 9193), (9194, 9341), (9342, 9489), (9490, 9637), (9638, 9786), (9787, 9934), (9935, 10082), (10083, 10230), (10231, 10378), (10379, 10558), (10559, 10770), (10771, 10982), (10983, 11193), (11194, 11405), (11406, 11617), (11618, 11829), (11830, 12120), (12121, 12491), (12492, 12861), (12862, 13232), (13233, 13664), (13665, 14158), (14159, 14652), (14653, 15270), (15271, 16011), (16012, 16382), (16383, 16383), (-9998, -9998))"
INSTRUMENT_SETTING_PARAMETERS.MRO-ADC_TIMING_SETTINGS,"(5, 4)"
INSTRUMENT_SETTING_PARAMETERS.MRO-DLL_LOCKED_FLAG,"(YES, YES)"
INSTRUMENT_SETTING_PARAMETERS.MRO-DLL_LOCKED_ONCE_FLAG,"(YES, YES)"
INSTRUMENT_SETTING_PARAMETERS.MRO-DLL_RESET_COUNT,"0"
INSTRUMENT_SETTING_PARAMETERS.MRO-DLL_FREQUENCY_CORRECT_COUNT,"4"
TEMPERATURE_PARAMETERS.MRO-OPT_BNCH_FLEXURE_TEMPERATURE,"19.5881 <C>"
TEMPERATURE_PARAMETERS.MRO-OPT_BNCH_MIRROR_TEMPERATURE,"20.1949 <C>"
TEMPERATURE_PARAMETERS.MRO-OPT_BNCH_FOLD_FLAT_TEMPERATURE,"19.9348 <C>"
TEMPERATURE_PARAMETERS.MRO-OPT_BNCH_FPA_TEMPERATURE,"19.9348 <C>"
TEMPERATURE_PARAMETERS.MRO-OPT_BNCH_FPE_TEMPERATURE,"19.8482 <C>"
TEMPERATURE_PARAMETERS.MRO-OPT_BNCH_LIVING_RM_TEMPERATURE,"19.5881 <C>"
TEMPERATURE_PARAMETERS.MRO-OPT_BNCH_BOX_BEAM_TEMPERATURE,"19.9348 <C>"
TEMPERATURE_PARAMETERS.MRO-OPT_BNCH_COVER_TEMPERATURE,"19.9348 <C>"
TEMPERATURE_PARAMETERS.MRO-FIELD_STOP_TEMPERATURE,"18.2017 <C>"
TEMPERATURE_PARAMETERS.MRO-FPA_POSITIVE_Y_TEMPERATURE,"21.8425 <C>"
TEMPERATURE_PARAMETERS.MRO-FPA_NEGATIVE_Y_TEMPERATURE,"21.5823 <C>"
TEMPERATURE_PARAMETERS.MRO-FPE_TEMPERATURE,"19.1548 <C>"
TEMPERATURE_PARAMETERS.MRO-PRIMARY_MIRROR_MNT_TEMPERATURE,"19.5015 <C>"
TEMPERATURE_PARAMETERS.MRO-PRIMARY_MIRROR_TEMPERATURE,"19.6748 <C>"
TEMPERATURE_PARAMETERS.MRO-PRIMARY_MIRROR_BAF_TEMPERATURE,"1.61905 <C>"
TEMPERATURE_PARAMETERS.MRO-MS_TRUSS_LEG_0_A_TEMPERATURE,"19.5015 <C>"
TEMPERATURE_PARAMETERS.MRO-MS_TRUSS_LEG_0_B_TEMPERATURE,"19.7615 <C>"
TEMPERATURE_PARAMETERS.MRO-MS_TRUSS_LEG_120_A_TEMPERATURE,"19.1548 <C>"
TEMPERATURE_PARAMETERS.MRO-MS_TRUSS_LEG_120_B_TEMPERATURE,"19.8482 <C>"
TEMPERATURE_PARAMETERS.MRO-MS_TRUSS_LEG_240_A_TEMPERATURE,"20.0215 <C>"
TEMPERATURE_PARAMETERS.MRO-MS_TRUSS_LEG_240_B_TEMPERATURE,"20.3683 <C>"
TEMPERATURE_PARAMETERS.MRO-BARREL_BAFFLE_TEMPERATURE,"-15.9678 <C>"
TEMPERATURE_PARAMETERS.MRO-SUN_SHADE_TEMPERATURE,"-31.8154 <C>"
TEMPERATURE_PARAMETERS.MRO-SPIDER_LEG_30_TEMPERATURE,"9.63837 <C>"
TEMPERATURE_PARAMETERS.MRO-SPIDER_LEG_150_TEMPERATURE,"8.77489 <C>"
TEMPERATURE_PARAMETERS.MRO-SPIDER_LEG_270_TEMPERATURE,"8.42958 <C>"
TEMPERATURE_PARAMETERS.MRO-SEC_MIRROR_MTR_RNG_TEMPERATURE,"19.5881 <C>"
TEMPERATURE_PARAMETERS.MRO-SEC_MIRROR_TEMPERATURE,"19.9348 <C>"
TEMPERATURE_PARAMETERS.MRO-SEC_MIRROR_BAFFLE_TEMPERATURE,"-13.0597 <C>"
TEMPERATURE_PARAMETERS.MRO-IEA_TEMPERATURE,"27.1384 <C>"
TEMPERATURE_PARAMETERS.MRO-FOCUS_MOTOR_TEMPERATURE,"21.1487 <C>"
TEMPERATURE_PARAMETERS.MRO-IE_PWS_BOARD_TEMPERATURE,"25.9367 <C>"
TEMPERATURE_PARAMETERS.MRO-CPMM_PWS_BOARD_TEMPERATURE,"33.7954 <C>"
TEMPERATURE_PARAMETERS.MRO-MECH_TLM_BOARD_TEMPERATURE,"36.3395 <C>"
TEMPERATURE_PARAMETERS.MRO-INST_CONT_BOARD_TEMPERATURE,"36.0642 <C>"
POWER_PARAMETERS.MRO-CPMM_POSITIVE_29_VOLTAGE,"29.1259 <V>"
POWER_PARAMETERS.MRO-CPMM_POSITIVE_29_CURRENT,"0.216379 <A>"
POWER_PARAMETERS.MRO-CPMM_POSITIVE_10_VOLTAGE,"9.02174 <V>"
POWER_PARAMETERS.MRO-CPMM_POSITIVE_10_CURRENT,"2.34761 <A>"
POWER_PARAMETERS.MRO-CPMM_POSITIVE_5_VOLTAGE,"5.02654 <V>"
POWER_PARAMETERS.MRO-CPMM_POSITIVE_5_CURRENT,"7.71226 <A>"
POWER_PARAMETERS.MRO-CPMM_POSITIVE_3_3_VOLTAGE,"3.31305 <V>"
POWER_PARAMETERS.MRO-CPMM_POSITIVE_3_3_CURRENT,"1.57623 <A>"
POWER_PARAMETERS.MRO-CPMM_POSITIVE_2_5_VOLTAGE,"2.50663 <V>"
POWER_PARAMETERS.MRO-CPMM_POSITIVE_2_5_CURRENT,"0.321714 <A>"
POWER_PARAMETERS.MRO-CPMM_POSITIVE_1_8_VOLTAGE,"1.81145 <V>"
POWER_PARAMETERS.MRO-CPMM_POSITIVE_1_8_CURRENT,"4.24284 <A>"
POWER_PARAMETERS.MRO-CPMM_NEGATIVE_5_VOLTAGE,"-5.05424 <V>"
POWER_PARAMETERS.MRO-CPMM_NEGATIVE_5_CURRENT,"-0.704756 <A>"
POWER_PARAMETERS.MRO-HEATER_CURRENT,"0.68071 <A>"
POWER_PARAMETERS.MRO-INST_CONT_FPGA_POS_2_5_VOLTAGE,"2.54639 <V>"
POWER_PARAMETERS.MRO-MECH_TLM_FPGA_POS_2_5_VOLTAGE,"2.5708 <V>"
POWER_PARAMETERS.MRO-IEA_POSITIVE_28_VOLTAGE,"30.7126 <V>"
POWER_PARAMETERS.MRO-IEA_NEGATIVE_15_VOLTAGE,"-15.2894 <V>"
POWER_PARAMETERS.MRO-IEA_POSITIVE_15_VOLTAGE,"15.1817 <V>"
POWER_PARAMETERS.MRO-IEA_POSITIVE_5_VOLTAGE,"5.06348 <V>"
